Hotel_Name,Location,Ratings,No_of_Reviews
Hotel Malte Astotel,Paris,4.0 of 5 bubbles,"3,077 reviews"
Hôtel Astra Opéra - Astotel,Paris,5.0 of 5 bubbles,317 reviews
Maison Mère,Paris,4.0 of 5 bubbles,874 reviews
Hotel Astoria - Astotel,Paris,3.0 of 5 bubbles,"2,634 reviews"
Victoria Palace Hotel,Paris,2.0 of 5 bubbles,923 reviews
Hotel des Arts - Montmartre,Paris,5.0 of 5 bubbles,"3,841 reviews"
Hotel de Londres Eiffel,Paris,5.0 of 5 bubbles,"2,237 reviews"
Hotel 34B - Astotel,Paris,5.0 of 5 bubbles,"3,564 reviews"
Hôtel Grand Powers,Paris,5.0 of 5 bubbles,861 reviews
Hyatt Regency Paris Étoile,Paris,5.0 of 5 bubbles,"2,316 reviews"
B Montmartre Hotel,Paris,5.0 of 5 bubbles,"2,090 reviews"
Best Western Plus La Demeure,Paris,5.0 of 5 bubbles,"1,110 reviews"
Grand Hotel Du Palais Royal,Paris,5.0 of 5 bubbles,"1,635 reviews"
Hotel Le Mareuil,Paris,5.0 of 5 bubbles,"1,752 reviews"
Passy Eiffel Hotel,Paris,5.0 of 5 bubbles,"1,247 reviews"
Hôtel Signature Saint Germain des Près,Paris,5.0 of 5 bubbles,"1,974 reviews"
Le Bristol Paris,Paris,5.0 of 5 bubbles,"2,330 reviews"
Hotel Turenne Le Marais,Paris,5.0 of 5 bubbles,"1,040 reviews"
Hotel Gustave,Paris,5.0 of 5 bubbles,996 reviews
Hôtel Regina Louvre,Paris,5.0 of 5 bubbles,"1,736 reviews"
Citadines Tour Eiffel Paris,Paris,5.0 of 5 bubbles,475 reviews
Pullman Paris Tour Eiffel,Paris,5.0 of 5 bubbles,"4,003 reviews"
Pavillon Monceau Hotel,Paris,5.0 of 5 bubbles,550 reviews
Hôtel La Comtesse,Paris,5.0 of 5 bubbles,984 reviews
Bloom House Hôtel & Spa,Paris,5.0 of 5 bubbles,101 reviews
Maison Chomel,Paris,5.0 of 5 bubbles,636 reviews
Hôtel Splendid Étoile,Paris,4.0 of 5 bubbles,330 reviews
Hotel Eiffel Seine,Paris,5.0 of 5 bubbles,"2,583 reviews"
Citadines Les Halles Paris,Paris,5.0 of 5 bubbles,"1,469 reviews"
Hotel Mayfair Paris,Paris,5.0 of 5 bubbles,847 reviews
